site_numeric,site,longitude_reported,latitude_reported,longitude_snapped,latitude_snapped,distance_snapped,catchment_area_reported,river_width,catchment_area_snapped,catchment_area_h90m,order_orig_coords,order_snapped_coords,slope_channel,elevation_m
22,SSC1,152.8785,-28.90516,152.8804167,-28.90541667,188.9543511,NA,5,15.19111729,0.009730966,NA,4,0,83
25,SSC5,152.9114,-28.86748,152.9129167,-28.86791667,155.6402294,NA,9,192.0507202,0.008045623,NA,5,0,63
28,ESC7,152.90164,-28.81236,152.9029167,-28.81208333,128.2763741,NA,7,61.81606674,17.93990898,NA,5,0,44
29,ESC9,152.95439,-28.80402,152.95625,-28.80458333,191.9671719,718,11,696.6188965,696.5386353,6,6,0,32
30,ESC8,152.936928,-28.802699,152.9379167,-28.80291667,99.43917372,NA,9,75.408638,75.32248688,5,5,0,39
31,RSC6,152.97529,-28.78381,152.97625,-28.78458333,127.2147539,NA,16,1054.496582,0.008171286,NA,6,0,34
32,ESC6,152.92398,-28.75749,152.9229167,-28.75875,174.4756831,NA,9,583.3883057,0.009688692,NA,6,0,42
33,ESC5,152.9131,-28.7439,152.9145833,-28.74458333,163.5439803,NA,5,124.3140335,124.1935577,5,5,0,38
34,RSC5,152.97785,-28.74185,152.97875,-28.74291667,147.7019174,NA,15,1009.962341,0.007534461,NA,6,0,38
36,ESC3,152.9057,-28.71397,152.9054167,-28.71541667,163.4006189,NA,6,432.7481995,0.027215488,NA,6,0,49
37,RSC4,152.9984,-28.67927,152.9995833,-28.68041667,172.1897939,NA,17,945.9244995,0.007532938,NA,6,0,44
38,ESC2,152.90122,-28.66315,152.9029167,-28.66375,178.6793668,NA,11,188.4793243,188.3860168,5,5,0,64
39,ESC1,152.91624,-28.66177,152.91625,-28.66291667,127.6500867,NA,6,215.9958649,0.007800169,NA,6,0,55
40,RSC3,152.99532,-28.6208,152.99625,-28.62125,103.7689265,NA,17,893.1022339,893.0775146,6,6,0.014744,52
41,RSC2,153.00257,-28.61668,153.00125,-28.61625,137.5872535,NA,14,133.3907013,133.3254395,5,5,0,57
